p,Pinf
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.0
0.66,0.003
0.67,0.019
0.6799999999999999,0.065
0.69,0.15
0.7,0.289
0.71,0.43
0.72,0.547
0.73,0.697
0.74,0.807
0.75,0.908
0.76,0.966
0.77,0.99
0.78,0.999
0.79,0.999
0.8,0.999
0.81,1.0
0.8200000000000001,1.0
0.8300000000000001,1.0
0.8400000000000001,1.0
0.85,1.0
0.86,1.0
0.87,1.0
0.88,1.0
0.89,1.0
0.9,1.0
0.9099999999999999,1.0
0.9199999999999999,1.0
0.9299999999999999,1.0
0.94,1.0
0.95,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
